Date               Open         High          Low        Close        Volume    Market Cap  Average
2015-08-07     2.830000     3.540000     2.520000     2.770000  1.643290e+05  0.000000e+00     3.03
2015-08-08     2.790000     2.800000     0.714725     0.753325  6.741880e+05  1.679110e+08     1.76
2015-08-09     0.706136     0.879810     0.629191     0.701897  5.321700e+05  4.263760e+07     0.75
2015-08-10     0.713989     0.729854     0.636546     0.708448  4.052830e+05  4.313000e+07     0.68
2015-08-11     0.708087     1.130000     0.663235     1.070000  1.463100e+06  4.279650e+07     0.90
2015-08-12     1.060000     1.290000     0.883608     1.220000  2.150620e+06  6.401840e+07     1.09
2015-08-13     1.220000     1.970000     1.170000     1.830000  4.068680e+06  7.393540e+07     1.57
2015-08-14     1.810000     2.260000     1.750000     1.830000  4.637030e+06  1.095940e+08     2.00
2015-08-15     1.800000     1.880000     1.570000     1.690000  2.554360e+06  1.091600e+08     1.73
2015-08-16     1.680000     1.700000     1.090000     1.570000  3.550790e+06  1.020280e+08     1.40
2015-08-17     1.580000     1.580000     1.190000     1.200000  1.942830e+06  9.581970e+07     1.39
2015-08-18     1.220000     1.330000     1.090000     1.090000  1.485680e+06  8.814320e+07     1.21
2015-08-19     1.170000     1.320000     1.170000     1.260000  1.486240e+06  8.466390e+07     1.25
2015-08-20     1.250000     1.530000     1.250000     1.460000  2.843760e+06  9.080900e+07     1.39
2015-08-21     1.480000     1.560000     1.350000     1.400000  2.020970e+06  1.072660e+08     1.46
2015-08-22     1.400000     1.480000     1.350000     1.380000  9.483100e+05  1.014040e+08     1.42
2015-08-23     1.380000     1.410000     1.300000     1.350000  1.589300e+06  9.989450e+07     1.35
2015-08-24     1.350000     1.360000     1.230000     1.230000  9.249200e+05  9.779160e+07     1.29
2015-08-25     1.230000     1.240000     1.130000     1.140000  1.307180e+06  8.932190e+07     1.19
2015-08-26     1.130000     1.200000     1.060000     1.160000  1.056750e+06  8.238440e+07     1.13
2015-08-27     1.170000     1.190000     1.140000     1.150000  6.866620e+05  8.510610e+07     1.17
2015-08-28     1.150000     1.210000     1.120000     1.190000  7.218720e+05  8.352170e+07     1.17
2015-08-29     1.190000     1.210000     1.150000     1.180000  3.753770e+05  8.688760e+07     1.18
2015-08-30     1.180000     1.370000     1.170000     1.320000  1.337650e+06  8.614590e+07     1.27
2015-08-31     1.320000     1.400000     1.200000     1.360000  1.447180e+06  9.625100e+07     1.30
2015-09-01     1.350000     1.390000     1.340000     1.350000  7.788620e+05  9.861720e+07     1.36
2015-09-02     1.350000     1.350000     1.260000     1.290000  8.837690e+05  9.850460e+07     1.31
2015-09-03     1.300000     1.310000     1.210000     1.260000  7.029910e+05  9.441870e+07     1.26
2015-09-04     1.260000     1.300000     1.240000     1.270000  4.743910e+05  9.223410e+07     1.27
2015-09-05     1.280000     1.340000     1.270000     1.340000  4.484530e+05  9.340230e+07     1.31
2015-09-06     1.340000     1.370000     1.290000     1.300000  4.919680e+05  9.762550e+07     1.33
2015-09-07     1.300000     1.310000     1.240000     1.250000  4.890140e+05  9.458530e+07     1.27
2015-09-08     1.250000     1.280000     1.230000     1.240000  4.278920e+05  9.102070e+07     1.25
2015-09-09     1.240000     1.260000     1.200000     1.210000  3.667480e+05  9.051830e+07     1.23
2015-09-10     1.210000     1.220000     1.140000     1.170000  6.627820e+05  8.823050e+07     1.18
2015-09-11     1.160000     1.170000     0.940675     0.982978  1.942600e+06  8.514430e+07     1.06
2015-09-12     0.987228     1.110000     0.969780     1.040000  7.724300e+05  7.217900e+07     1.04
2015-09-13     1.040000     1.040000     0.902832     0.936003  6.441380e+05  7.619360e+07     0.97
